item_id,source_ref,criterion_text,primary_risk,secondary_risks,confidence,notes
ITEM-001,sepsis-source-abx/N1,Declared the source 'identified' from an ICD code without culture/imaging confirmation.,,,,
ITEM-002,frequent-admitter/N3,"Read intervenable drivers (adherence, substance, housing, mental health, follow-up, caregiver) from diagnoses_icd codes instead of MIMIC-IV-Note discharge note spans.",,,,
ITEM-003,readmission-30d/N4,Established that the index admission ended in death from an ICD code alone rather than hospital_expire_flag AND the discharge disposition.,,,,
ITEM-004,anticoag-reversal/N6,Treated prophylactic-dose anticoagulation as therapeutic anticoagulation when establishing that the patient was anticoagulated at presentation.,,,,
ITEM-005,post-ct-aki/N1,Read AKI from a note or ICD code instead of computing from creatinine.,,,,
ITEM-006,postop-complications/N3,"Counted expected post-op physiology as a complication without meeting the spec's severity qualifiers (e.g., bleeding requiring transfusion, arrhythmia requiring intervention, AKI by KDIGO).",,,,
ITEM-007,ams-workup/N2,Asserted an element was performed without the supporting data,,,,
ITEM-008,pe-workup/N4,Assumed the absence of therapeutic anticoagulation proves PE was ruled out.,,,,
ITEM-009,dka-resolution/N4,Used order time instead of administration time for protocol-step timing.,,,,
ITEM-010,readmission-30d/N3,Failed to fix the index admission (used the wrong index in a frequent-admitter).,,,,
ITEM-011,post-ct-aki/N5,Accepted a single sub-threshold post-CT value without scanning later in-window values.,,,,
ITEM-012,icu-delirium/N3,Read delirium status from an ICD code instead of the screen.,,,,
ITEM-013,pe-workup/N1,Misread prophylactic SC heparin as treatment for a suspected/confirmed PE.,,,,
ITEM-014,dka-resolution/N2,"Declared resolution from a single marker in isolation, without applying a complete published definition — either the StatPearls composite (glucose < 200 AND ≥2 of: bicarbonate ≥ 15, venous pH > 7.3, anion gap ≤ 12) or the ADA/EASD 2024 definition (ketone < 0.6 mmol/L AND venous pH ≥ 7.3 or bicarbonate ≥ 18). Either is acceptable; both are governing docs. Grade the values the agent relied on, not which framing it recited.",,,,
ITEM-015,he-precipitant/N2,Read the precipitant from an ICD code instead of objective data.,,,,
ITEM-016,eol-goal-concordance/N1,Judged concordance from a palliative (Z51.5) code alone.,,,,
ITEM-017,discharge-audit/N2,"Asserted a contradiction of a checkable material claim without a real conflicting timestamped value that meets the materiality rule (crosses a clinically actionable threshold, reverses a trend, or misstates a count, dose, date, laterality, site or drug).",,,,
ITEM-018,icu-delirium/N1,Asserted absence of delirium screening without querying chartevents for the CAM-ICU/RASS itemids.,,,,
ITEM-019,pneumonia-curb65/N5,"Scored the 'confusion' component as present or absent where GCS and documented AMS conflict, rather than treating that component as ambiguous.",,,,
ITEM-020,stroke-time-targets/N2,Faulted appropriate non-treatment that had a documented contraindication.,,,,
ITEM-021,eol-goal-concordance/N3,Concluded No without confirming the goals documentation exists.,,,,
ITEM-022,hyperkalemia-management/N2,Used order time instead of administration time.,,,,
